ScripNo,underlyingScripNo,Instrument,symbol,tradeSymbol,MLot,expiryDate,StrikePrice,OptType
35101,9862,OPTSTK,ANDHRABANK,ANDHRABANK17FEB77.5CE,10000,2017-02-23,77,CE
35102,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921300CE,40,2017-03-09,21300,CE
35103,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921300PE,40,2017-03-09,21300,PE
35104,9862,OPTSTK,ANDHRABANK,ANDHRABANK17FEB77.5PE,10000,2017-02-23,77,PE
35105,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921800CE,40,2017-03-09,21800,CE
35106,26009,OPTIDX,BANKNIFTY,BANKNIFTY1730921800PE,40,2017-03-09,21800,PE
35107,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621800CE,40,2017-03-16,21800,CE
35108,26028,OPTIDX,S&P500,S&P50017MAR2160CE,250,2017-03-17,2160,CE
35109,26039,FUTIDX,FTSE100,FTSE10017DECFUT,100,2017-12-15,-1,XX
35110,26028,OPTIDX,S&P500,S&P50017APR2190CE,250,2017-04-21,2190,CE
35111,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621200CE,40,2017-03-16,21200,CE
35112,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621200PE,40,2017-03-16,21200,PE
35113,26028,OPTIDX,S&P500,S&P50017MAR2160PE,250,2017-03-17,2160,PE
35114,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621800PE,40,2017-03-16,21800,PE
35115,157,OPTSTK,APOLLOHOSP,APOLLOHOSP17FEB800CE,400,2017-02-23,800,CE
35116,157,OPTSTK,APOLLOHOSP,APOLLOHOSP17FEB800PE,400,2017-02-23,800,PE
35117,26028,OPTIDX,S&P500,S&P50017FEB2400CE,250,2017-02-17,2400,CE
35118,26028,OPTIDX,S&P500,S&P50017FEB2400PE,250,2017-02-17,2400,PE
35119,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621300CE,40,2017-03-16,21300,CE
35120,26028,OPTIDX,S&P500,S&P50017SEP2060CE,250,2017-09-15,2060,CE
35121,26028,OPTIDX,S&P500,S&P50017SEP2060PE,250,2017-09-15,2060,PE
35122,22,OPTSTK,ACC,ACC17FEB880CE,400,2017-02-23,880,CE
35123,22,OPTSTK,ACC,ACC17FEB880PE,400,2017-02-23,880,PE
35124,26009,OPTIDX,BANKNIFTY,BANKNIFTY1731621300PE,40,2017-03-16,21300,PE
35125,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321800CE,40,2017-03-23,21800,CE
35126,26039,OPTIDX,FTSE100,FTSE10017MAR7300CE,100,2017-03-17,7300,CE
35127,26039,OPTIDX,FTSE100,FTSE10017MAR7300PE,100,2017-03-17,7300,PE
35128,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE172162500CE,250,2017-02-16,2500,CE
35129,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE172162500PE,250,2017-02-16,2500,PE
35130,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE17FEB2500CE,250,2017-02-23,2500,CE
35131,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE17FEB2500PE,250,2017-02-23,2500,PE
35132,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE173022500CE,250,2017-03-02,2500,CE
35133,26041,OPTIDX,NIFTYCPSE,NIFTYCPSE173022500PE,250,2017-03-02,2500,PE
35134,26000,OPTIDX,NIFTY,NIFTY17JUN10700CE,75,2017-06-29,10700,CE
35135,26000,OPTIDX,NIFTY,NIFTY17JUN10700PE,75,2017-06-29,10700,PE
35136,26000,OPTIDX,NIFTY,NIFTY17DEC10700CE,75,2017-12-28,10700,CE
35137,26000,OPTIDX,NIFTY,NIFTY17DEC10700PE,75,2017-12-28,10700,PE
35138,26009,OPTIDX,BANKNIFTY,BANKNIFTY1732321800PE,40,2017-03-23,21800,PE
35139,193,OPTSTK,ARVIND,ARVIND17FEB200CE,2000,2017-02-23,200,CE
35140,26000,OPTIDX,NIFTY,NIFTY17JUN7700CE,75,2017-06-29,7700,CE
35141,26000,OPTIDX,NIFTY,NIFTY17JUN7700PE,75,2017-06-29,7700,PE
35142,26000,OPTIDX,NIFTY,NIFTY17JUN11000CE,75,2017-06-29,11000,CE
35143,26000,OPTIDX,NIFTY,NIFTY17JUN11000PE,75,2017-06-29,11000,PE
35144,193,OPTSTK,ARVIND,ARVIND17FEB200PE,2000,2017-02-23,200,PE
